"custom_step","sleek-rain-188 - _step","sleek-rain-188 - _step__MIN","sleek-rain-188 - _step__MAX","sleek-rain-188 - train_metrics/Usefulness","sleek-rain-188 - train_metrics/Usefulness__MIN","sleek-rain-188 - train_metrics/Usefulness__MAX"
"78000000","77","77","77","0.8760906637042276","0.8760906637042276","0.8760906637042276"
"79000000","78","78","78","0.878244481762472","0.878244481762472","0.878244481762472"
"80000000","79","79","79","0.8726695231936877","0.8726695231936877","0.8726695231936877"
"81000000","80","80","80","0.8810355886430977","0.8810355886430977","0.8810355886430977"
"82000000","81","81","81","0.8767462624079774","0.8767462624079774","0.8767462624079774"
"83000000","82","82","82","0.874954223898482","0.874954223898482","0.874954223898482"
"84000000","83","83","83","0.8802336869861566","0.8802336869861566","0.8802336869861566"
"85000000","84","84","84","0.8737498827549504","0.8737498827549504","0.8737498827549504"
"86000000","85","85","85","0.8800394278505426","0.8800394278505426","0.8800394278505426"
"87000000","86","86","86","0.883985832663616","0.883985832663616","0.883985832663616"
"88000000","87","87","87","0.8763379726606118","0.8763379726606118","0.8763379726606118"
"89000000","88","88","88","0.8772875271585044","0.8772875271585044","0.8772875271585044"
"90000000","89","89","89","0.8821624768712081","0.8821624768712081","0.8821624768712081"
"91000000","90","90","90","0.880209405668819","0.880209405668819","0.880209405668819"
"92000000","91","91","91","0.8859542219765851","0.8859542219765851","0.8859542219765851"
"93000000","92","92","92","0.8797169972070557","0.8797169972070557","0.8797169972070557"
"94000000","93","93","93","0.8836992770966454","0.8836992770966454","0.8836992770966454"
"95000000","94","94","94","0.8836549535129897","0.8836549535129897","0.8836549535129897"
"96000000","95","95","95","0.8890916214256877","0.8890916214256877","0.8890916214256877"
"97000000","96","96","96","0.8817067195866924","0.8817067195866924","0.8817067195866924"
"98000000","97","97","97","0.8838441489711155","0.8838441489711155","0.8838441489711155"
"99000000","98","98","98","0.8882356083726971","0.8882356083726971","0.8882356083726971"
"100000000","99","99","99","0.8878549730610129","0.8878549730610129","0.8878549730610129"
