"custom_step","lively-sky-199 - _step","lively-sky-199 - _step__MIN","lively-sky-199 - _step__MAX","lively-sky-199 - train_metrics/Usefulness","lively-sky-199 - train_metrics/Usefulness__MIN","lively-sky-199 - train_metrics/Usefulness__MAX"
"89000000","88","88","88","0.920763630951686","0.920763630951686","0.920763630951686"
"90000000","89","89","89","0.9141811965537915","0.9141811965537915","0.9141811965537915"
"91000000","90","90","90","0.9180565941836537","0.9180565941836537","0.9180565941836537"
"92000000","91","91","91","0.9228064023126168","0.9228064023126168","0.9228064023126168"
"93000000","92","92","92","0.9168272605555438","0.9168272605555438","0.9168272605555438"
"94000000","93","93","93","0.9112877220096717","0.9112877220096717","0.9112877220096717"
"95000000","94","94","94","0.920121285757637","0.920121285757637","0.920121285757637"
"96000000","95","95","95","0.9204064787515898","0.9204064787515898","0.9204064787515898"
"97000000","96","96","96","0.927431390032697","0.927431390032697","0.927431390032697"
"98000000","97","97","97","0.9215485162892348","0.9215485162892348","0.9215485162892348"
"99000000","98","98","98","0.925157243851003","0.925157243851003","0.925157243851003"
"100000000","99","99","99","0.925890585424731","0.925890585424731","0.925890585424731"
